 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
|                          Encoder statistics. This file is generated during first encoding session, new sessions will be appended                                                                                                                                                                                 |
 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
|     ver     | Date  | Time  |               Sequence                 | #Img |P/MbInt| QPI| QPP| QPB| Format  |Iperiod| #B | FMES | Hdmd | S.R |#Ref | Freq |Coding|RD-opt|Intra upd|8x8Tr| SNRY 1| SNRU 1| SNRV 1| SNRY N| SNRU N| SNRV N|#Bitr I|#Bitr P|#Bitr B|#Bitr IPB|     Total Time   |      Me Time     |
| 19.0/(FRExt)| 06/18 | 21:57 |/JM各种版本/JM/bin/foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 24 | 176x144 |    0  |  0 |  FFS |  022 |  32 |  5  | 30.00| CAVLC|   1  |   OFF   |  0  | 37.427| 41.282| 42.818| 37.009| 41.016| 42.675| 219840| 120800|      0|   342320|           3532   |           3254   |
| 19.0/(FRExt)| 06/18 | 22:02 |/JM各种版本/JM/bin/foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 24 | 176x144 |    0  |  0 |  FFS |  022 |  32 |  5  | 30.00| CAVLC|   1  |   OFF   |  0  | 37.427| 41.282| 42.818| 37.009| 41.016| 42.675| 219840| 120800|      0|   342320|           3514   |           3218   |
| 19.0/(FRExt)| 06/18 | 22:03 |/JM各种版本/JM/bin/foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 24 | 176x144 |    0  |  0 |  FFS |  022 |  32 |  5  | 30.00| CAVLC|   1  |   OFF   |  0  | 37.430| 41.282| 42.818| 36.786| 40.523| 41.978| 221280| 411120|      0|   634080|           4194   |           3182   |
| 19.0/(FRExt)| 06/18 | 22:11 |/JM各种版本/JM/bin/foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 24 | 176x144 |    0  |  0 |  FFS |  022 |  32 |  5  | 30.00| CAVLC|   1  |   OFF   |  0  | 37.427| 41.282| 42.818| 37.009| 41.016| 42.675| 219840| 120800|      0|   342320|           3573   |           3264   |
| 19.0/(FRExt)| 06/18 | 22:17 |/JM各种版本/JM/bin/foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 24 | 176x144 |    0  |  0 |  FFS |  022 |  32 |  5  | 30.00| CAVLC|   1  |   OFF   |  0  | 37.430| 41.282| 42.818| 36.786| 40.523| 41.978| 221280| 411120|      0|   634080|           4210   |           3186   |
| 19.0/(FRExt)| 06/18 | 22:47 |/JM各种版本/JM/bin/foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 24 | 176x144 |    0  |  0 |  FFS |  022 |  32 |  5  | 30.00| CAVLC|   1  |   OFF   |  0  | 92.170| 86.149| 86.149| 57.021| 59.512| 59.611|3064640| 116480|      0|  3182800|           3330   |           3191   |
| 19.0/(FRExt)| 06/18 | 23:03 |/JM各种版本/JM/bin/foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 24 | 176x144 |    0  |  0 |  FFS |  022 |  32 |  5  | 30.00| CAVLC|   1  |   OFF   |  0  | 37.427| 41.282| 42.818| 37.009| 41.016| 42.675| 219840| 120800|      0|   342320|           3442   |           3181   |
| 19.0/(FRExt)| 06/18 | 23:05 |/JM各种版本/JM/bin/foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 24 | 176x144 |    0  |  0 |  FFS |  022 |  32 |  5  | 30.00| CAVLC|   1  |   OFF   |  0  | 37.427| 41.282| 42.818| 37.009| 41.016| 42.675| 219840| 120800|      0|   342320|           3484   |           3228   |
| 19.0/(FRExt)| 06/18 | 23:06 |/JM各种版本/JM/bin/foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 24 | 176x144 |    0  |  0 |  FFS |  022 |  32 |  5  | 30.00| CAVLC|   1  |   OFF   |  0  | 37.427| 41.282| 42.818| 37.009| 41.016| 42.675| 219840| 120800|      0|   342320|           3480   |           3218   |
| 19.0/(FRExt)| 06/18 | 23:08 |/JM各种版本/JM/bin/foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 24 | 176x144 |    0  |  0 |  FFS |  022 |  32 |  5  | 30.00| CAVLC|   1  |   OFF   |  0  | 37.427| 41.282| 42.818| 37.009| 41.016| 42.675| 219840| 120800|      0|   342320|           3547   |           3271   |
